92478,68245,350701,1314860400
11299,163679,151172,1362124800
11259,9554,7688,1178002800
11259,9554,355163,1178002800
128373,10288,135888,1354348800
24249,54221,83778,1214895600
24249,54221,14367,1214895600
24249,54221,36863,1214895600
24249,54221,84035,1214895600
24249,54221,4565,1214895600
24249,54221,84998,1214895600
54221,24249,56242,1214895600
54221,24249,3601,1214895600
54221,24249,3600,1214895600
71795,55046,400225,1304233200
71795,55046,73394,1304233200
71795,55046,189330,1304233200
55046,71795,64696,1304233200
55046,71795,101155,1304233200
55046,71795,88479,1304233200
39793,4850,25627,1178002800
39793,4850,168515,1178002800
39793,4850,5556,1178002800
39793,4850,28663,1178002800
39793,4850,151172,1178002800
4850,39793,65879,1175410800
4850,39793,1776,1175410800
4850,39793,9134,1175410800
28385,9805,64608,1164960000
28385,9805,113392,1164960000
28385,9805,2488,1164960000
9805,28385,125693,1164960000
9805,28385,248875,1164960000
9805,28385,36703,1164960000
9805,28385,57642,1164960000
9805,28385,10270,1164960000
9805,28385,33741,1164960000
9805,28385,36706,1164960000
9805,28385,55372,1164960000
9805,28385,214169,1164960000
18921,10288,27989,1104566400
18921,10288,27977,1104566400
18921,10288,538,1104566400
18921,10288,530,1104566400
18921,10288,6390,1104566400
18921,10288,176,1104566400
18921,10288,117250,1104566400
18921,10288,3958,1104566400
18921,10288,177,1104566400
10288,18921,1268,1104566400
10288,18921,2640,1104566400
10288,18921,203345,1104566400
10288,18921,398498,1104566400
54825,54824,154383,1212303600
54825,54824,79613,1212303600
54825,54824,79602,1212303600
54825,54824,334504,1212303600
54824,54825,279580,1212303600
54824,54825,63050,1212303600
54824,54825,355197,1212303600
54824,54825,12993,1212303600
54824,54825,12993,1212303600
54824,54825,73355,1212303600
54824,54825,7131,1212303600
54824,54825,31037,1212303600
54824,54825,29083,1212303600
54824,54825,8594,1212303600
54824,54825,180524,1212303600
96974,38859,354985,1301641200
96974,38859,117884,1301641200
96974,38859,122496,1301641200
38859,96974,123071,1301641200
38859,96974,130886,1301641200
38859,96974,108147,1301641200
38859,96974,55610,1301641200
38859,96974,151172,1301641200
53893,51668,54634,1188630000
53893,51668,53853,1188630000
